A.5 Taxa de fecundidade total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº médio anual de filhos por mulher por ano segundo Região e UF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brasil, 1991-2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Região e UF;1991;Obs;1992;Obs;1993;Obs;1994;Obs;1995;Obs;1996;Obs;1997;Obs;1998;Obs;1999;Obs;2000;Obs;2001;Obs;2002;Obs;2003;Obs;2004;Obs;2005;Obs;2006;Obs;2007;Obs;2008;Obs;2009;Obs;2010;Obs
Região Norte;3,99;*;3,84;*;3,7;*;3,58;*;3,47;*;3,37;*;3,28;***;3,21;***;3,14;***;3,15;***;3;***;2,85;***;2,7;***;2,57;***;2,46;***;2,38;***;2,33;***;2,47;****;2,42;****;2,34;****
Rondônia;3,33;*;3,22;*;3,13;*;3,04;*;2,97;*;2,91;*;2,85;*;2,8;*;2,76;*;2,73;*;2,62;*;2,52;*;2,42;*;2,32;*;2,24;*;2,17;*;2,1;*;2,06;****;2,06;****;2,02;****
Acre;4,46;*;4,29;*;4,13;*;3,98;*;3,84;*;3,7;*;3,58;**;3,46;**;3,36;**;2,97;**;2,84;**;2,95;**;2,91;**;2,95;**;3,06;**;2,83;**;2,73;**;3,03;****;2,98;****;2,81;****
Amazonas;4,07;*;3,93;*;3,81;*;3,71;*;3,61;*;3,54;*;3,47;*;3,41;*;3,36;*;3,4;*;3,19;*;2,99;*;2,79;*;2,62;*;2,47;*;2,49;**;2,36;**;2,62;****;2,67;****;2,63;****
Roraima;4,54;*;4,34;*;4,14;*;3,96;*;3,79;*;3,64;*;3,5;**;3,39;**;3,29;**;3,66;*;3,58;*;3,51;*;3,45;*;3,38;*;3,33;*;3,27;*;3,22;*;2,94;****;2,92;****;2,62;****
Pará;3,99;*;3,85;*;3,73;*;3,61;*;3,5;*;3,39;*;3,3;*;3,21;*;3,13;*;3,15;*;2,98;*;2,81;*;2,65;*;2,5;*;2,37;*;2,25;*;2,27;**;2,41;****;2,3;****;2,22;****
Amapá;4,79;*;4,51;*;4,25;*;4,01;*;3,8;*;3,62;*;3,46;**;3,32;**;3,2;**;3,61;*;3,49;*;3,38;*;3,28;*;3,19;*;3,12;*;3,05;*;3;*;2,8;****;2,66;****;2,54;****
Tocantins;4,13;*;3,83;*;3,57;*;3,37;*;3,23;*;3,14;*;3,08;*;3,05;*;3,03;*;2,92;*;2,78;*;2,64;*;2,51;*;2,4;*;2,3;*;2,21;*;2,01;**;2,27;****;2,33;****;2,16;****
Região Nordeste;3,38;*;3,24;*;3,11;*;3;*;2,9;*;2,81;*;2,72;***;2,65;***;2,59;***;2,69;*;2,55;***;2,45;***;2,36;***;2,29;***;2,23;***;2,17;***;2,12;***;1,96;****;1,99;****;1,92;****
Maranhão;4,1;*;3,91;*;3,73;*;3,56;*;3,4;*;3,26;*;3,12;*;2,99;*;2,88;*;3,22;*;3,05;*;2,88;*;2,74;*;2,6;*;2,49;*;2,38;*;2,3;*;2,36;****;2,41;****;2,25;****
