 A.7 Taxa bruta de natalidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de nascidos vivos por 1.000 habitantes, por ano segundo Região e UF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:1991-2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Região e UF;1991;1991-Fonte;1992;1992-Fonte;1993;1993-Fonte;1994;1994-Fonte;1995;1995-Fonte;1996;1996-Fonte;1997;1997-Fonte;1998;1998-Fonte;1999-Bruta;1999-Padron;1999-Fonte;2000-Bruta;2000-Padron;2000-Fonte;2001-Bruta;2001-Padron;2001-Fonte;2002-Bruta;2002-Padron;2002-Fonte;2003-Bruta;2003-Padron;2003-Fonte;2004-Bruta;2004-Padron;2004-Fonte;2005-Bruta;2005-Padron;2005-Fonte;2006-Bruta;2006-Padron;2006-Fonte;2007-Bruta;2007-Padron;2007-Fonte;2008-Bruta;2008-Padron;2008-Fonte;2009-Bruta;2009-Padron;2009-Fonte;2010-Bruta;2010-Padron;2010-Fonte
 Região Norte ; 31,93 ; * ; 31,35 ; * ; 30,90 ; * ; 30,49 ; * ; 30,14 ; * ; 29,82 ; * ; 29,95 ; * ; 29,60 ; * ; 29,56 ; 27,94 ; *** ; 28,84 ; 27,69 ; *** ; 27,54 ; 26,47 ; *** ; 26,47 ; 25,53 ; *** ; 25,28 ; 24,38 ; *** ; 24,16 ; 23,31 ; *** ; 22,60 ; 21,79 ; *** ; 21,72 ; 21,04 ; *** ; 21,34 ; 20,27 ; *** ; 23,18 ; 22,24 ; **** ; 22,27 ; 21,49 ; **** ; 21,60 ; 20,23 ; **** 
 Rondônia ; 29,12 ; * ; 28,54 ; * ; 28,09 ; * ; 27,62 ; * ; 27,26 ; * ; 26,95 ; * ; 27,32 ; *** ; 27,12 ; *** ; 26,96 ; 25,66 ; * ; 25,39 ; 24,01 ; * ; 24,39 ; 23,08 ; * ; 23,46 ; 22,20 ; * ; 22,51 ; 21,20 ; * ; 21,55 ; 20,34 ; * ; 20,76 ; 19,52 ; * ; 20,05 ; 19,10 ; * ; 19,38 ; 18,42 ; * ; 19,08 ; 18,59 ; **** ; 19,14 ; 18,51 ; **** ; 18,61 ; 17,46 ; **** 
 Acre ; 34,65 ; * ; 33,80 ; * ; 33,07 ; * ; 32,42 ; * ; 31,83 ; * ; 31,21 ; * ; 29,54 ; ** ; 25,86 ; ** ; 28,30 ; 26,36 ; ** ; 27,31 ; 26,46 ; ** ; 25,94 ; 25,30 ; ** ; 26,99 ; 26,43 ; ** ; 26,62 ; 26,13 ; ** ; 27,00 ; 26,55 ; ** ; 26,10 ; 25,73 ; ** ; 23,95 ; 23,70 ; ** ; 23,01 ; 22,37 ; ** ; 27,07 ; 27,12 ; **** ; 26,88 ; 26,69 ; **** ; 25,50 ; 24,30 ; **** 
 Amazonas ; 32,40 ; * ; 32,13 ; * ; 31,96 ; * ; 31,87 ; * ; 31,76 ; * ; 31,75 ; * ; 31,70 ; * ; 31,70 ; * ; 31,71 ; 30,87 ; * ; 30,74 ; 29,28 ; * ; 29,20 ; 28,03 ; * ; 27,68 ; 26,65 ; * ; 26,09 ; 25,12 ; * ; 24,69 ; 23,80 ; * ; 23,38 ; 22,49 ; * ; 22,83 ; 22,14 ; ** ; 21,68 ; 20,53 ; ** ; 24,90 ; 23,64 ; **** ; 24,45 ; 23,42 ; **** ; 24,09 ; 22,68 ; **** 
 Roraima ; 35,53 ; * ; 34,78 ; * ; 33,98 ; * ; 33,28 ; * ; 32,61 ; * ; 32,07 ; * ; 31,83 ; ** ; 31,54 ; ** ; 36,23 ; 33,62 ; ** ; 32,81 ; 31,64 ; * ; 32,30 ; 31,21 ; * ; 31,84 ; 30,72 ; * ; 31,42 ; 30,33 ; * ; 30,86 ; 29,80 ; * ; 30,41 ; 29,43 ; * ; 29,80 ; 28,94 ; * ; 29,47 ; 28,33 ; * ; 25,42 ; 25,25 ; **** ; 25,49 ; 25,06 ; **** ; 24,12 ; 22,63 ; **** 
 Pará ; 31,60 ; * ; 31,09 ; * ; 30,69 ; * ; 30,28 ; * ; 29,91 ; * ; 29,49 ; * ; 29,54 ; * ; 29,25 ; * ; 28,97 ; 27,23 ; * ; 28,41 ; 27,51 ; * ; 27,15 ; 26,28 ; * ; 25,81 ; 25,02 ; * ; 24,50 ; 23,77 ; * ; 23,22 ; 22,52 ; * ; 22,06 ; 21,39 ; * ; 20,96 ; 20,37 ; * ; 20,71 ; 19,63 ; ** ; 22,99 ; 21,77 ; **** ; 21,24 ; 20,43 ; **** ; 20,68 ; 19,26 ; **** 
 Amapá ; 37,57 ; * ; 36,51 ; * ; 35,48 ; * ; 34,49 ; * ; 33,60 ; * ; 32,83 ; * ; 35,63 ; ** ; 34,34 ; ** ; 30,91 ; 27,50 ; ** ; 33,09 ; 31,20 ; * ; 32,36 ; 30,61 ; * ; 31,65 ; 30,03 ; * ; 30,95 ; 29,31 ; * ; 30,27 ; 28,68 ; * ; 29,70 ; 28,16 ; * ; 29,06 ; 27,62 ; * ; 28,68 ; 27,36 ; * ; 25,82 ; 25,42 ; **** ; 25,50 ; 24,90 ; **** ; 24,26 ; 22,09 ; **** 
 Tocantins ; 32,25 ; * ; 30,87 ; * ; 29,75 ; * ; 28,99 ; * ; 28,55 ; * ; 28,38 ; * ; 28,77 ; * ; 28,98 ; * ; 29,20 ; 27,28 ; * ; 26,86 ; 25,94 ; * ; 25,76 ; 24,39 ; * ; 24,56 ; 23,83 ; * ; 23,39 ; 22,70 ; * ; 22,35 ; 21,71 ; * ; 21,37 ; 20,69 ; * ; 20,46 ; 19,86 ; * ; 18,41 ; 17,49 ; ** ; 20,54 ; 20,57 ; **** ; 20,99 ; 20,42 ; **** ; 19,60 ; 18,74 ; **** 
 Região Nordeste ; 26,81 ; * ; 26,29 ; * ; 25,84 ; * ; 25,44 ; * ; 25,13 ; * ; 24,89 ; * ; 24,50 ; *** ; 24,48 ; *** ; 24,39 ; 22,40 ; *** ; 24,55 ; 24,33 ; * ; 23,95 ; 23,77 ; *** ; 23,19 ; 23,14 ; *** ; 22,55 ; 22,53 ; *** ; 21,94 ; 21,93 ; *** ; 21,14 ; 21,14 ; *** ; 20,41 ; 20,49 ; *** ; 19,91 ; 19,38 ; *** ; 18,32 ; 17,56 ; **** ; 17,71 ; 17,03 ; **** ; 17,28 ; 16,88 ; **** 
 Maranhão ; 30,54 ; * ; 29,84 ; * ; 29,26 ; * ; 28,77 ; * ; 28,35 ; * ; 27,84 ; * ; 27,58 ; * ; 27,10 ; * ; 26,73 ; 24,04 ; * ; 28,84 ; 28,35 ; * ; 27,67 ; 27,30 ; * ; 26,43 ; 26,36 ; * ; 25,39 ; 25,41 ; * ; 24,28 ; 24,27 ; * ; 23,36 ; 23,37 ; * ; 22,38 ; 22,57 ; * ; 21,74 ; 20,49 ; * ; 22,29 ; 21,37 ; **** ; 21,93 ; 20,38 ; **** ; 20,78 ; 19,71 ; **** 
